index,name
0,"minecraft-api_minecraft-api---get--texture-:hash"
1,"minecraft-api_mojang-api---get--minecraft-profile-lookup-name-:username"
2,"minecraft-api_mojang-api---get--session-minecraft-profile-:uuid"
3,"minecraft-api_mojang-api---get--session-minecraft-profile-:uuid---unsigned=false"
4,"minecraft-api_mojang-api---get--users-profiles-minecraft-:username"
5,"minecraft-api_mojang-api---post--minecraft-profile-lookup-bulk-byname---[username-username]"
6,"minecraft-api_mojang-api---post--profiles-minecraft---[username-username]"
7,"minecraft-api_services-api---get--minecraft-profile-lookup-:uuid"
8,"minecraft-api_services-api---get--minecraft-profile-lookup-name-:username"
9,"minecraft-api_services-api---post--minecraft-profile-lookup-bulk-byname---[username-username]"
10,"mowojang-api_mowojang-api---get--:username"
11,"mowojang-api_mowojang-api---get--:uuid"
12,"mowojang-api_mowojang-api---get--session-minecraft-profile-:uuid"
13,"mowojang-api_mowojang-api---get--users-profiles-minecraft-:username"
14,"mowojang-api_mowojang-api---post-----[username-uuid]"
15,"other-apis_ashcon-api---get--mojang-v2-user-:username"
16,"other-apis_ashcon-api---get--mojang-v2-user-:uuid"
17,"other-apis_crafthead-api---get--profile-:username"
18,"other-apis_crafthead-api---get--profile-:uuid"
19,"other-apis_playerdb-api---get--profile-:username"
20,"other-apis_playerdb-api---get--profile-:uuid"
21,"other-apis_skinrestorer-api---get--mojang-skin-:uuid"
22,"other-apis_skinrestorer-api---get--mojang-uuid-:username"
23,"seraph-api_seraph-api---get--:username"
24,"seraph-api_seraph-api---get--:uuid"
25,"seraph-api_seraph-api---get--session-minecraft-profile-:uuid"
26,"seraph-api_seraph-api---get--users-profiles-minecraft-:username"
27,"seraph-api_seraph-api---post-----[username-uuid]"

index,hour,latency,uptime
