index,name
0,"minecraft-api_minecraft-api---get--texture-:hash"
1,"minecraft-api_mojang-api---get--minecraft-profile-lookup-name-:username"
2,"minecraft-api_mojang-api---get--session-minecraft-profile-:uuid"
3,"minecraft-api_mojang-api---get--session-minecraft-profile-:uuid---unsigned=false"
4,"minecraft-api_mojang-api---get--users-profiles-minecraft-:username"
5,"minecraft-api_mojang-api---post--minecraft-profile-lookup-bulk-byname---[username-username]"
6,"minecraft-api_mojang-api---post--profiles-minecraft---[username-username]"
7,"minecraft-api_services-api---get--minecraft-profile-lookup-:uuid"
8,"minecraft-api_services-api---get--minecraft-profile-lookup-name-:username"
9,"minecraft-api_services-api---post--minecraft-profile-lookup-bulk-byname---[username-username]"
10,"mowojang-api_mowojang-api---get--:username"
11,"mowojang-api_mowojang-api---get--:uuid"
12,"mowojang-api_mowojang-api---get--session-minecraft-profile-:uuid"
13,"mowojang-api_mowojang-api---get--users-profiles-minecraft-:username"
14,"mowojang-api_mowojang-api---post-----[username-uuid]"
15,"other-apis_ashcon-api---get--mojang-v2-user-:username"
16,"other-apis_ashcon-api---get--mojang-v2-user-:uuid"
17,"other-apis_crafthead-api---get--profile-:username"
18,"other-apis_crafthead-api---get--profile-:uuid"
19,"other-apis_playerdb-api---get--profile-:username"
20,"other-apis_playerdb-api---get--profile-:uuid"
21,"other-apis_skinrestorer-api---get--mojang-skin-:uuid"
22,"other-apis_skinrestorer-api---get--mojang-uuid-:username"
23,"seraph-api_seraph-api---get--:username"
24,"seraph-api_seraph-api---get--:uuid"
25,"seraph-api_seraph-api---get--session-minecraft-profile-:uuid"
26,"seraph-api_seraph-api---get--users-profiles-minecraft-:username"
27,"seraph-api_seraph-api---post-----[username-uuid]"

index,hour,latency,uptime
0,8,47,100
0,9,46,100
0,10,47,100
0,11,56,100
0,12,46,100
0,13,47,100
0,14,46,100
0,15,67,100
0,16,46,100
0,17,45,100
0,18,91,100
0,19,46,100
0,20,47,100
0,21,44,100
0,22,45,100
0,23,44,100
1,8,174,100
1,9,172,100
1,10,209,100
1,11,197,100
1,12,174,100
1,13,179,100
1,14,196,100
1,15,192,100
1,16,174,100
1,17,172,100
1,18,169,100
1,19,188,100
1,20,989,91.67
1,21,168,100
1,22,171,100
1,23,173,100
2,8,181,100
2,9,173,100
2,10,170,100
2,11,195,100
2,12,175,100
2,13,175,100
2,14,178,91.67
2,15,174,100
2,16,174,91.67
2,17,174,100
2,18,174,91.67
2,19,174,100
2,20,171,100
2,21,174,100
2,22,184,100
2,23,181,100
3,9,236,100
3,10,178,100
3,11,179,100
3,12,181,100
3,13,209,100
3,14,182,100
3,15,207,100
3,16,181,91.67
3,17,184,100
3,18,177,91.67
3,19,183,100
3,20,183,100
3,21,201,100
3,22,180,100
3,23,187,100
4,8,170,100
4,9,182,100
4,10,171,100
4,11,178,100
4,12,178,100
4,13,181,100
4,14,181,100
4,15,172,91.67
4,16,197,100
4,17,175,100
4,18,256,91.67
4,19,199,100
4,20,179,100
4,21,177,100
4,22,268,100
4,23,204,100
5,8,190,100
5,9,172,100
5,10,177,100
5,11,297,100
5,12,182,100
5,13,185,100
5,14,176,100
5,15,172,100
5,16,259,100
5,17,197,100
5,18,178,100
5,19,177,100
5,20,184,100
5,21,179,100
5,22,172,100
5,23,173,100
6,8,172,100
6,9,176,91.67
6,10,175,100
6,11,260,91.67
6,12,172,91.67
6,13,179,100
6,14,170,100
6,15,175,100
6,16,174,100
6,17,171,100
6,18,169,66.67
6,19,174,91.67
6,20,260,100
6,21,169,100
6,22,177,100
6,23,172,100
7,8,168,100
7,9,174,100
7,10,196,100
7,11,169,100
7,12,173,100
7,13,175,100
7,14,173,100
7,15,180,100
7,16,186,100
7,17,196,100
7,18,191,100
7,19,172,100
7,20,169,100
7,21,188,100
7,22,193,100
7,23,172,100
8,8,175,100
8,9,169,100
8,10,182,100
8,11,172,100
8,12,173,100
8,13,172,100
8,14,176,100
8,15,172,100
8,16,172,100
8,17,193,100
8,18,177,100
8,19,177,100
8,20,171,100
8,21,175,100
8,22,174,100
8,23,173,100
9,8,172,100
9,9,170,100
9,10,173,100
9,11,172,100
9,12,172,100
9,13,170,100
9,14,171,100
9,15,176,100
9,16,172,100
9,17,188,100
9,18,194,100
9,19,175,100
9,20,375,100
9,21,169,100
9,22,177,100
9,23,172,100
10,8,311,100
10,9,310,100
10,10,309,100
10,11,344,100
10,12,310,100
10,13,310,100
10,14,310,100
10,15,311,100
10,16,310,100
10,17,313,100
10,18,313,100
10,19,353,100
10,20,319,100
10,21,311,100
10,22,310,100
10,23,310,100
11,8,306,100
11,9,307,100
11,10,307,100
11,11,309,100
11,12,307,100
11,13,307,100
11,14,307,100
11,15,307,100
11,16,332,100
11,17,313,100
11,18,318,100
11,19,439,100
11,20,330,100
11,21,309,100
11,22,308,100
11,23,307,100
12,8,333,100
12,9,334,100
12,10,322,100
12,11,328,100
12,12,322,100
12,13,342,100
12,14,319,100
12,15,328,100
12,16,334,100
12,17,539,100
12,18,359,100
12,19,831,100
12,20,403,100
12,21,417,100
12,22,466,100
12,23,343,100
13,8,308,100
13,9,307,100
13,10,307,100
13,11,308,100
13,12,306,100
13,13,307,100
13,14,308,100
13,15,307,100
13,16,309,100
13,17,314,100
13,18,312,100
13,19,373,100
13,20,313,100
13,21,321,100
13,22,307,100
13,23,307,100
14,8,329,100
14,9,337,100
14,10,329,100
14,11,328,100
14,12,323,100
14,13,331,100
14,14,325,100
14,15,322,100
14,16,329,100
14,17,375,100
14,18,1323,100
14,19,1168,100
14,20,1324,100
14,21,1154,100
14,22,885,100
14,23,1043,100
15,8,303,100
15,9,733,100
15,10,337,100
15,11,325,100
15,12,315,100
15,13,369,100
15,14,321,100
15,15,339,100
15,16,360,100
15,17,356,100
15,18,360,100
15,19,349,100
15,20,345,100
15,21,318,100
15,22,333,100
15,23,308,100
16,8,217,100
16,9,630,100
16,10,222,100
16,11,229,100
16,12,231,100
