index,hour,latency,uptime
0,0,42,100
0,1,40,100
0,2,42,100
0,3,40,100
0,4,41,100
0,5,41,100
0,6,50,100
0,7,41,100
0,8,873,91.67
0,9,44,100
0,10,125,100
0,11,42,100
0,12,42,100
0,13,42,100
0,14,40,100
0,15,41,100
0,16,43,100
0,17,42,100
0,18,42,100
0,19,61,100
0,20,43,100
0,21,43,100
0,22,40,100
0,23,40,100
1,0,163,100
1,1,167,100
1,2,984,91.67
1,3,161,100
1,4,164,100
1,5,185,100
1,6,162,100
1,7,164,100
1,8,158,100
1,9,138,100
1,10,174,100
1,11,163,100
1,12,265,100
1,13,170,100
1,14,187,100
1,15,218,100
1,16,160,100
1,17,165,100
1,18,167,100
1,19,164,100
1,20,233,100
1,21,245,100
1,22,162,100
1,23,165,100
2,0,159,100
2,1,161,100
2,2,188,100
2,3,161,100
2,4,165,100
2,5,247,100
2,6,164,100
2,7,168,100
2,8,157,100
2,9,145,100
2,10,159,100
2,11,160,100
2,12,188,100
2,13,167,100
2,14,194,100
2,15,161,100
2,16,162,100
2,17,163,100
2,18,185,100
2,19,159,100
2,20,180,100
2,21,161,100
2,22,182,100
2,23,181,100
3,0,178,100
3,1,174,100
3,2,175,100
3,3,179,100
3,4,176,100
3,5,181,100
3,6,177,100
3,7,182,100
3,8,253,100
3,9,160,100
3,10,883,100
3,11,204,100
3,12,199,100
3,13,184,100
3,14,181,100
3,15,198,100
3,16,179,100
3,17,283,100
3,18,180,100
3,19,203,100
3,20,187,100
3,21,348,100
3,22,191,100
3,23,196,100
4,0,162,100
4,1,165,100
4,2,164,100
4,3,160,100
4,4,171,100
4,5,163,100
4,6,164,100
4,7,166,100
4,8,970,91.67
4,9,147,100
4,10,154,100
4,11,191,100
4,12,162,100
4,13,190,100
4,14,249,100
4,15,182,100
4,16,163,100
4,17,163,100
4,18,167,100
4,19,187,100
4,20,188,100
4,21,164,100
4,22,163,100
4,23,189,100
5,0,179,100
5,1,166,100
5,2,162,100
5,3,162,100
5,4,163,100
5,5,163,100
5,6,162,100
5,7,171,100
5,8,158,100
5,9,170,100
5,10,179,100
5,11,160,100
5,12,211,100
5,13,162,100
5,14,164,100
5,15,161,100
5,16,246,100
5,17,160,100
5,18,168,100
5,19,167,100
5,20,187,100
5,21,161,100
5,22,160,100
5,23,159,100
6,0,165,100
6,1,158,100
6,2,163,100
6,3,186,100
6,4,193,100
6,5,159,100
6,6,171,100
6,7,165,100
6,8,996,91.67
6,9,168,100
6,10,163,100
6,11,163,100
6,12,174,100
6,13,177,100
6,14,164,100
6,15,184,100
6,16,170,100
6,17,186,100
6,18,157,100
6,19,159,100
6,20,192,100
6,21,163,100
6,22,268,100
6,23,161,100
7,0,163,100
7,1,160,100
7,2,160,100
7,3,160,100
7,4,157,100
7,5,163,100
7,6,181,100
7,7,171,100
7,8,182,100
7,9,143,100
7,10,158,100
7,11,163,100
7,12,171,100
7,13,192,100
7,14,161,100
7,15,207,100
7,16,168,100
7,17,159,100
7,18,245,100
7,19,165,100
7,20,162,100
7,21,161,100
7,22,162,100
7,23,160,100
8,0,157,100
8,1,159,100
8,2,165,100
8,3,160,100
8,4,157,100
8,5,159,100
8,6,162,100
8,7,163,100
8,8,172,100
8,9,165,100
8,10,160,100
8,11,246,100
8,12,160,100
8,13,185,100
8,14,163,100
8,15,160,100
8,16,168,100
8,17,160,100
